company_ntn,company_name,incorporation_date,registered_address,principal_business,status,paid_up_capital
8976853-8,United International,2008-05-19,"House 864, Street 38, Cantt, Sialkot",Pharmaceuticals,Active,50000000
8806267-8,Allied Industries,2013-05-28,"House 697, Street 31, Peoples Colony, Gujranwala",Pharmaceuticals,Active,50000000
6776818-7,Summit Holdings,2011-12-31,"House 183, Street 52, Satellite Town, Gujranwala",Import/Export,Active,50000000
4155057-0,Apex Industries,2016-08-22,"House 103, Street 16, D Ground, Faisalabad",Import/Export,Active,50000000
2097417-0,Global Builders,2019-01-17,"House 523, Street 13, Clifton, Karachi",Logistics,Active,50000000
9187279-7,Summit Industries,2013-11-07,"House 664, Street 19, Gulgasht Colony, Multan",Import/Export,Active,50000000
3367381-2,Apex Traders,2021-02-13,"House 967, Street 57, D Ground, Faisalabad",IT Services,Active,500000000
8498283-1,Pak Holdings,2023-08-04,"House 163, Street 12, Johar Town, Lahore",IT Services,Active,500000000
3144780-8,Royal Industries,2014-09-21,"House 497, Street 22, Peoples Colony, Faisalabad",Import/Export,Active,50000000
1235833-6,Crescent (Pvt) Ltd,2022-10-28,"House 768, Street 54, Model Town, Gujranwala",IT Services,Active,500000000
9483298-6,Pak (Pvt) Ltd,2018-06-24,"House 589, Street 10, DHA Phase 5, Lahore",Food & Beverage,Active,500000000
1575862-7,Allied (Pvt) Ltd,2015-01-06,"House 196, Street 46, Johar Town, Lahore",Trading,Active,50000000
4052149-5,Apex Industries,2010-12-14,"House 978, Street 42, Westridge, Rawalpindi",Logistics,Active,50000000
1500134-3,Royal Traders,2015-05-27,"House 838, Street 22, Model Town, Sialkot",Food & Beverage,Active,50000000
7460750-9,Capital Traders,2016-06-14,"House 547, Street 28, DHA-I, Rawalpindi",Pharmaceuticals,Active,500000000
2257458-1,Summit Enterprises,2011-02-26,"House 376, Street 45, Peoples Colony, Gujranwala",Logistics,Active,50000000
8118092-0,Allied International,2014-08-10,"House 741, Street 8, DHA-I, Rawalpindi",Construction,Active,500000000
8910159-9,Star International,2017-04-12,"House 11, Street 11, DHA-I, Rawalpindi",IT Services,Active,50000000
4323909-4,Apex International,2016-08-16,"House 185, Street 20, Clifton, Karachi",Pharmaceuticals,Active,500000000
7962247-7,Apex Builders,2014-05-16,"House 450, Street 49, DHA Phase 5, Lahore",IT Services,Active,500000000
5167501-6,Apex Industries,2012-02-27,"House 538, Street 58, Model Town, Multan",IT Services,Active,50000000
5906928-9,Metro Builders,2009-04-20,"House 365, Street 13, Johar Town, Lahore",Trading,Active,500000000
7994634-9,Pak International,2016-01-07,"House 496, Street 60, Model Town, Multan",IT Services,Active,500000000
7157861-9,Summit (Pvt) Ltd,2010-02-05,"House 402, Street 59, Paris Road, Sialkot",Import/Export,Active,50000000
1840261-1,Pak (Pvt) Ltd,2023-11-10,"House 130, Street 34, North Nazimabad, Karachi",Logistics,Active,500000000
2045442-8,Summit Enterprises,2016-05-26,"House 231, Street 12, Gulshan-e-Iqbal, Karachi",Real Estate,Active,50000000
6525476-2,Apex (Pvt) Ltd,2009-04-19,"House 183, Street 2, Clifton, Karachi",Construction,Active,50000000
2645795-6,Allied Builders,2018-09-12,"House 980, Street 3, Satellite Town, Gujranwala",Logistics,Active,50000000
9266237-5,Pak Industries,2014-12-02,"House 491, Street 4, Shah Rukn-e-Alam, Multan",Logistics,Active,500000000
9815691-8,Pak (Pvt) Ltd,2010-05-30,"House 488, Street 56, DHA Phase 6, Karachi",Pharmaceuticals,Active,50000000
1946452-7,Premier Builders,2015-11-20,"House 960, Street 17, Paris Road, Sialkot",Logistics,Active,50000000
3455548-9,Metro Holdings,2011-11-23,"House 727, Street 13, Bahadurabad, Karachi",Food & Beverage,Active,50000000
4085213-7,Apex Industries,2014-08-29,"House 880, Street 14, Shah Rukn-e-Alam, Multan",Import/Export,Active,50000000
1921069-0,Apex Associates,2017-11-24,"House 508, Street 4, Shah Rukn-e-Alam, Multan",Real Estate,Active,50000000
9691513-1,Royal Industries,2010-10-04,"House 649, Street 15, North Nazimabad, Karachi",Real Estate,Active,50000000
3048510-1,Pak International,2022-08-15,"House 490, Street 4, Madina Town, Faisalabad",Pharmaceuticals,Active,50000000
4503976-1,Metro Industries,2009-12-31,"House 118, Street 47, Gulshan-e-Iqbal, Karachi",Import/Export,Active,50000000
3244235-5,Summit Industries,2022-04-23,"House 51, Street 52, Shah Rukn-e-Alam, Multan",Construction,Active,50000000
6489325-3,Apex Holdings,2008-12-08,"House 125, Street 16, Bahria Town, Islamabad",IT Services,Active,500000000
7791148-9,Metro Associates,2009-09-14,"House 563, Street 28, University Town, Peshawar",Real Estate,Active,500000000
5878052-9,Allied Enterprises,2012-02-17,"House 150, Street 59, Madina Town, Faisalabad",Logistics,Active,500000000
8821494-9,Pak Industries,2013-08-28,"House 985, Street 13, Chaklala Scheme 3, Rawalpindi",Construction,Active,50000000
9668660-9,Apex Traders,2012-08-16,"House 978, Street 53, Jaranwala Road, Faisalabad",Textile,Active,50000000
3976807-9,Metro Enterprises,2016-01-24,"House 489, Street 3, Shah Rukn-e-Alam, Multan",Construction,Active,500000000
5206258-0,Star International,2011-01-23,"House 201, Street 53, G-10, Islamabad",Logistics,Active,50000000
1205873-7,Crescent Associates,2012-11-17,"House 444, Street 30, Cantt, Peshawar",Food & Beverage,Active,50000000
8003709-2,Capital International,2015-11-23,"House 933, Street 13, DHA-I, Rawalpindi",Construction,Active,50000000
2267637-2,Capital International,2009-06-13,"House 690, Street 7, Peoples Colony, Gujranwala",Food & Beverage,Active,50000000
4806710-7,Capital Traders,2009-06-16,"House 733, Street 37, Model Town, Lahore",Pharmaceuticals,Active,50000000
9667236-3,Star Associates,2020-01-10,"House 462, Street 39, Bahadurabad, Karachi",Real Estate,Active,50000000
4831703-2,United Builders,2010-09-13,"House 242, Street 40, Model Town, Gujranwala",Food & Beverage,Active,50000000
1322328-7,Metro Industries,2020-07-30,"House 956, Street 2, University Town, Peshawar",Real Estate,Active,50000000
2665375-5,United Traders,2008-07-10,"House 63, Street 6, Bahadurabad, Karachi",Textile,Active,50000000
8757466-5,Pak (Pvt) Ltd,2012-06-07,"House 430, Street 12, Satellite Town, Rawalpindi",Real Estate,Active,500000000
7246014-2,Crescent Enterprises,2015-01-12,"House 546, Street 28, Gulshan-e-Iqbal, Karachi",Real Estate,Active,500000000
3244809-1,Global Traders,2021-07-11,"House 701, Street 8, Johar Town, Lahore",Pharmaceuticals,Active,500000000
5196396-6,Apex Builders,2017-12-05,"House 312, Street 21, University Town, Peshawar",Real Estate,Active,50000000
4956896-0,Summit Traders,2023-12-19,"House 578, Street 50, G-9, Islamabad",IT Services,Active,50000000
6630438-9,Allied International,2020-09-11,"House 412, Street 29, Chaklala Scheme 3, Rawalpindi",IT Services,Active,50000000
4516354-3,Metro International,2022-11-21,"House 428, Street 8, Cantt, Multan",Textile,Active,50000000
3321664-9,Allied (Pvt) Ltd,2008-10-05,"House 887, Street 44, D Ground, Faisalabad",Real Estate,Active,50000000
5758153-0,Allied Associates,2008-07-08,"House 95, Street 26, Cantt, Multan",Textile,Active,500000000
9185662-8,Summit Holdings,2016-11-21,"House 796, Street 41, Bahria Town, Rawalpindi",Construction,Active,50000000
7869972-3,Crescent Holdings,2012-09-30,"House 367, Street 33, Peoples Colony, Faisalabad",Construction,Active,50000000
3040388-7,Apex Associates,2019-04-01,"House 626, Street 18, Madina Town, Faisalabad",Pharmaceuticals,Active,50000000
5113112-5,Global Traders,2012-11-08,"House 335, Street 2, Model Town, Lahore",IT Services,Active,50000000
8152674-5,Crescent Industries,2023-03-15,"House 838, Street 17, DHA Phase 5, Lahore",Food & Beverage,Active,50000000
1284814-5,Global Builders,2018-07-19,"House 591, Street 54, Peoples Colony, Faisalabad",Pharmaceuticals,Active,50000000
6427731-0,Capital Traders,2016-11-27,"House 786, Street 27, Cantt, Sialkot",Trading,Active,50000000
9908835-9,Premier Builders,2009-08-18,"House 145, Street 39, Jaranwala Road, Faisalabad",Textile,Active,50000000
9241324-3,Global Holdings,2008-06-13,"House 862, Street 36, Cantt, Sialkot",Construction,Active,50000000
2613171-1,Summit Associates,2011-12-04,"House 526, Street 57, PECHS, Karachi",Logistics,Active,50000000
8466771-0,Crescent Builders,2015-09-14,"House 688, Street 35, Bahria Town, Rawalpindi",Pharmaceuticals,Active,50000000
7195739-5,Apex Industries,2015-12-05,"House 474, Street 18, F-7, Islamabad",Construction,Active,500000000
7353947-3,United Holdings,2014-07-12,"House 300, Street 15, DHA Phase 6, Karachi",Construction,Active,500000000
5314709-6,Apex Associates,2019-09-25,"House 70, Street 36, Gulberg III, Lahore",Construction,Active,50000000
3992305-3,Royal Holdings,2012-02-17,"House 773, Street 46, Chaklala Scheme 3, Rawalpindi",Logistics,Active,50000000
5854894-2,Metro Associates,2011-09-01,"House 735, Street 41, Model Town, Gujranwala",Real Estate,Active,50000000
4957605-2,Crescent Enterprises,2021-02-27,"House 442, Street 13, Model Town, Multan",Food & Beverage,Active,50000000
4396894-3,Star Traders,2008-10-17,"House 373, Street 22, Jaranwala Road, Faisalabad",Pharmaceuticals,Active,50000000
1878609-0,Star (Pvt) Ltd,2009-09-07,"House 304, Street 13, Westridge, Rawalpindi",IT Services,Active,50000000
6485685-6,Apex Builders,2012-06-10,"House 682, Street 45, DHA-II, Islamabad",Import/Export,Active,500000000
4557852-4,Global Holdings,2018-12-09,"House 957, Street 20, Paris Road, Sialkot",Import/Export,Active,50000000
9058926-9,Crescent International,2015-03-06,"House 701, Street 54, Westridge, Rawalpindi",Pharmaceuticals,Active,50000000
7700521-4,Allied Associates,2010-07-23,"House 492, Street 54, Model Town, Lahore",Real Estate,Active,500000000
3902313-5,Pak Builders,2014-10-27,"House 305, Street 19, Model Town, Gujranwala",Textile,Active,50000000
1053408-6,United Industries,2015-12-10,"House 373, Street 14, Paris Road, Sialkot",Textile,Active,500000000
8624273-3,Crescent Traders,2016-09-16,"House 730, Street 40, Gulgasht Colony, Multan",Textile,Active,50000000
1615477-3,Global Associates,2013-01-18,"House 865, Street 27, Bahria Town, Islamabad",Trading,Active,500000000
3323035-2,United Enterprises,2016-10-25,"House 733, Street 60, North Nazimabad, Karachi",Logistics,Active,50000000
2515029-1,Metro Associates,2010-12-22,"House 405, Street 31, D Ground, Faisalabad",Real Estate,Active,50000000
8256747-5,Summit Associates,2015-06-22,"House 349, Street 36, Clifton, Karachi",Real Estate,Active,50000000
1697510-0,Metro (Pvt) Ltd,2022-10-22,"House 611, Street 43, North Nazimabad, Karachi",Food & Beverage,Active,50000000
4983313-2,Star (Pvt) Ltd,2017-06-03,"House 481, Street 6, Shah Rukn-e-Alam, Multan",Real Estate,Active,500000000
3244352-2,Summit Builders,2016-11-25,"House 66, Street 39, Paris Road, Sialkot",Trading,Active,500000000
2319985-2,Pak Holdings,2022-07-12,"House 882, Street 19, Model Town, Multan",Textile,Active,50000000
1044461-3,Crescent Associates,2015-02-11,"House 281, Street 40, Chaklala Scheme 3, Rawalpindi",Construction,Active,50000000
1805849-8,Premier International,2021-06-16,"House 7, Street 41, D Ground, Faisalabad",Import/Export,Active,50000000
7501214-9,Summit Traders,2020-04-04,"House 921, Street 7, University Town, Peshawar",IT Services,Active,500000000
8054974-4,Star International,2016-03-03,"House 846, Street 33, Model Town, Gujranwala",Textile,Active,50000000
8996856-2,Allied International,2011-11-25,"House 475, Street 17, Kashmir Road, Sialkot",Pharmaceuticals,Active,500000000
3528250-4,Star Enterprises,2009-12-16,"House 376, Street 18, DHA-II, Islamabad",Food & Beverage,Active,500000000
4606141-8,Premier Associates,2015-07-10,"House 392, Street 20, F-7, Islamabad",Food & Beverage,Active,50000000
8849412-1,Apex Associates,2019-03-03,"House 204, Street 40, Bahria Town, Lahore",Import/Export,Active,50000000
9782804-6,Global Industries,2010-05-09,"House 957, Street 56, Cantt, Peshawar",Construction,Active,50000000
1677909-1,Royal Enterprises,2009-02-25,"House 894, Street 22, Clifton, Karachi",IT Services,Active,50000000
6097807-3,Crescent Holdings,2010-07-30,"House 429, Street 58, Shah Rukn-e-Alam, Multan",Logistics,Active,500000000
1997140-4,Premier (Pvt) Ltd,2009-03-22,"House 104, Street 50, Jaranwala Road, Faisalabad",Real Estate,Active,50000000
7741581-0,Apex Traders,2008-04-28,"House 34, Street 50, D Ground, Faisalabad",Logistics,Active,50000000
8027102-9,Royal (Pvt) Ltd,2012-01-06,"House 306, Street 8, Madina Town, Faisalabad",IT Services,Active,500000000
6753772-5,Capital (Pvt) Ltd,2023-05-30,"House 910, Street 4, Cantt, Peshawar",Logistics,Active,50000000
5195098-1,Metro Traders,2010-08-13,"House 40, Street 24, Model Town, Gujranwala",Textile,Active,50000000
4545177-3,Allied Enterprises,2020-02-22,"House 858, Street 20, Chaklala Scheme 3, Rawalpindi",Textile,Active,50000000
1883809-6,Premier Builders,2018-07-31,"House 671, Street 36, Shah Rukn-e-Alam, Multan",IT Services,Active,500000000
6259561-3,Pak Traders,2018-05-30,"House 918, Street 9, Peoples Colony, Faisalabad",Construction,Active,50000000
7458536-8,Metro Builders,2014-08-20,"House 462, Street 18, Paris Road, Sialkot",Pharmaceuticals,Active,50000000
5018244-2,Royal Traders,2013-12-15,"House 56, Street 47, Kashmir Road, Sialkot",Import/Export,Active,500000000
6525504-4,Summit Industries,2022-12-07,"House 274, Street 41, Peoples Colony, Gujranwala",Food & Beverage,Active,50000000
8122116-4,Crescent (Pvt) Ltd,2011-11-19,"House 995, Street 26, Hayatabad, Peshawar",Food & Beverage,Active,50000000
5020403-6,Premier Builders,2008-10-26,"House 497, Street 22, Kashmir Road, Sialkot",Textile,Active,50000000
6793338-8,Global Associates,2022-01-15,"House 722, Street 14, PECHS, Karachi",Logistics,Active,50000000
8427312-7,Premier Industries,2008-09-20,"House 874, Street 40, Cantt, Multan",Pharmaceuticals,Active,50000000
3809139-0,Summit (Pvt) Ltd,2017-09-20,"House 470, Street 38, Kashmir Road, Sialkot",Pharmaceuticals,Active,50000000
4367405-7,United (Pvt) Ltd,2013-08-14,"House 986, Street 48, Model Town, Gujranwala",Trading,Active,50000000
9889879-4,Pak Enterprises,2010-05-01,"House 495, Street 45, DHA-I, Rawalpindi",Logistics,Active,50000000
8586071-5,Pak Holdings,2014-05-08,"House 91, Street 8, Kashmir Road, Sialkot",Pharmaceuticals,Active,500000000
6475089-1,Metro Traders,2017-02-07,"House 153, Street 58, Johar Town, Lahore",Logistics,Active,50000000
9917209-9,Crescent Associates,2013-08-28,"House 896, Street 26, Johar Town, Lahore",Logistics,Active,500000000
4009564-2,United Enterprises,2009-11-05,"House 28, Street 51, Bahria Town, Rawalpindi",Real Estate,Active,50000000
3626775-6,Metro International,2012-06-16,"House 915, Street 4, Satellite Town, Gujranwala",Food & Beverage,Active,50000000
3887141-7,Pak Industries,2020-04-02,"House 592, Street 14, Bahria Town, Rawalpindi",Pharmaceuticals,Active,50000000
5144351-2,Allied (Pvt) Ltd,2015-08-08,"House 207, Street 47, Satellite Town, Gujranwala",Construction,Active,50000000
2873597-5,Premier International,2011-03-04,"House 956, Street 60, Cantt, Peshawar",Textile,Active,50000000
9676075-3,Crescent Traders,2018-12-31,"House 383, Street 21, Cantt, Lahore",Real Estate,Active,500000000
5163767-3,Allied Traders,2021-09-19,"House 142, Street 60, DC Colony, Gujranwala",Construction,Active,50000000
7886615-9,Summit Builders,2018-12-17,"House 717, Street 56, Kashmir Road, Sialkot",IT Services,Active,50000000
3055997-1,Crescent Holdings,2022-08-26,"House 36, Street 13, Cantt, Lahore",Logistics,Active,500000000
6354126-6,Apex Holdings,2018-06-16,"House 57, Street 56, University Town, Peshawar",Trading,Active,50000000
4376853-4,Allied Traders,2019-12-20,"House 463, Street 22, Gulbahar, Peshawar",Pharmaceuticals,Active,50000000
3807820-7,Global Associates,2023-11-13,"House 35, Street 3, Gulshan-e-Iqbal, Karachi",Construction,Active,50000000
1816440-0,Star Traders,2009-09-07,"House 526, Street 23, Cantt, Peshawar",Food & Beverage,Active,50000000
7296703-9,Global International,2015-09-18,"House 656, Street 39, Hayatabad, Peshawar",Textile,Active,500000000
2849977-6,Global Holdings,2022-05-14,"House 196, Street 6, Cantt, Multan",Trading,Active,500000000
6222818-2,Apex Enterprises,2017-05-17,"House 933, Street 31, Paris Road, Sialkot",Real Estate,Active,50000000
9766284-0,United Builders,2018-10-29,"House 336, Street 45, Cantt, Peshawar",Trading,Active,50000000
7470932-9,Capital Associates,2012-07-22,"House 18, Street 23, D Ground, Faisalabad",Textile,Active,500000000
6294302-8,Capital Associates,2019-02-21,"House 928, Street 13, Kashmir Road, Sialkot",Food & Beverage,Active,50000000
6210208-9,Summit Traders,2023-12-28,"House 879, Street 27, Model Town, Multan",Food & Beverage,Active,50000000
2283237-2,Capital International,2021-03-03,"House 177, Street 7, Cantt, Peshawar",Real Estate,Active,50000000
4510407-8,Summit (Pvt) Ltd,2011-01-21,"House 539, Street 58, Gulberg III, Lahore",Food & Beverage,Active,500000000
7920599-2,Apex Builders,2013-03-28,"House 861, Street 7, Shah Rukn-e-Alam, Multan",Import/Export,Active,500000000
2892031-2,Apex Industries,2022-07-10,"House 505, Street 47, Peoples Colony, Gujranwala",Pharmaceuticals,Active,50000000
1323402-5,Capital (Pvt) Ltd,2018-01-07,"House 557, Street 30, Cantt, Multan",Import/Export,Active,50000000
5882091-1,Premier Holdings,2019-08-10,"House 330, Street 25, Wapda Town, Lahore",Logistics,Active,50000000
9198847-4,Royal International,2019-04-01,"House 615, Street 50, Bahria Town, Islamabad",Pharmaceuticals,Active,50000000
6292721-2,United Builders,2013-02-14,"House 134, Street 5, Satellite Town, Gujranwala",Import/Export,Active,50000000
6236250-1,Global Enterprises,2009-01-12,"House 716, Street 58, Paris Road, Sialkot",Logistics,Active,50000000
